polaridad,sentimiento,significado,year
0.1744444444444444,2,Positivo,2009.0
0.3375,2,Positivo,2009.0
-0.0361111111111111,0,Negativo,2013.0
-0.0995,0,Negativo,2013.0
0.231547619047619,2,Positivo,2013.0
0.3999999999999999,2,Positivo,2015.0
0.5,2,Positivo,2014.0
-0.3333333333333333,0,Negativo,2014.0
0.19,2,Positivo,2011.0
0.1111111111111111,2,Positivo,2016.0
0.2578571428571428,2,Positivo,2013.0
0.2931578947368421,2,Positivo,2011.0
0.45625,2,Positivo,2012.0
0.1714285714285714,2,Positivo,2014.0
-0.3333333333333333,0,Negativo,2012.0
0.3363636363636363,2,Positivo,2012.0
0.1,2,Positivo,2016.0
0.8,2,Positivo,2012.0
-0.2,0,Negativo,2012.0
0.0,1,Neutro,2009.0
-0.4,0,Negativo,2011.0
0.3,2,Positivo,2004.0
0.0,1,Neutro,2012.0
-0.0666666666666667,0,Negativo,2012.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2017.0
0.0,1,Neutro,2006.0
0.0,1,Neutro,2011.0
0.0420454545454545,2,Positivo,2016.0
0.2041666666666667,2,Positivo,2009.0
0.65,2,Positivo,2006.0
-0.1377551020408163,0,Negativo,2017.0
0.7229166666666668,2,Positivo,2014.0
0.7229166666666668,2,Positivo,2014.0
0.0893939393939394,2,Positivo,2011.0
0.1104166666666666,2,Positivo,2009.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.4173828124999999,2,Positivo,2012.0
0.1499999999999999,2,Positivo,2014.0
0.1499999999999999,2,Positivo,2014.0
-0.5,0,Negativo,2012.0
0.125328947368421,2,Positivo,2015.0
0.0825814536340852,2,Positivo,2016.0
0.625,2,Positivo,2014.0
0.625,2,Positivo,2014.0
1.0,2,Positivo,2009.0
1.0,2,Positivo,2004.0
0.1752525252525252,2,Positivo,2014.0
-0.0571428571428571,0,Negativo,2015.0
0.064102564102564,2,Positivo,2014.0
0.0,1,Neutro,2013.0
-0.2312499999999999,0,Negativo,2015.0
0.5,2,Positivo,2006.0
0.0749999999999999,2,Positivo,2010.0
0.3666666666666667,2,Positivo,2012.0
0.0096464646464646,2,Positivo,2015.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2013.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2011.0
0.27,2,Positivo,2013.0
-0.4,0,Negativo,2014.0
-0.4,0,Negativo,2014.0
0.375,2,Positivo,2014.0
0.1,2,Positivo,2006.0
0.6000000000000001,2,Positivo,2015.0
0.388,2,Positivo,2017.0
0.15,2,Positivo,2012.0
-0.00625,0,Negativo,2011.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
-0.165,0,Negativo,2011.0
0.0,1,Neutro,2012.0
0.19375,2,Positivo,2014.0
0.19375,2,Positivo,2014.0
0.7,2,Positivo,2011.0
0.0,1,Neutro,2006.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2013.0
0.0,1,Neutro,2015.0
0.2,2,Positivo,2016.0
0.0,1,Neutro,2009.0
0.0,1,Neutro,2002.0
-0.4,0,Negativo,2014.0
-0.4,0,Negativo,2014.0
0.0843749999999999,2,Positivo,2011.0
0.3416666666666666,2,Positivo,2014.0
0.3416666666666666,2,Positivo,2014.0
-0.0035714285714285,0,Negativo,2017.0
0.1583333333333333,2,Positivo,2014.0
0.1583333333333333,2,Positivo,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.3,2,Positivo,2014.0
0.3,2,Positivo,2014.0
0.1620420875420875,2,Positivo,2014.0
0.1620420875420875,2,Positivo,2014.0
0.0,1,Neutro,2016.0
0.0,1,Neutro,2015.0
0.5,2,Positivo,2017.0
0.0,1,Neutro,2016.0
0.0,1,Neutro,2006.0
0.0,1,Neutro,2015.0
-0.15,0,Negativo,2014.0
-0.15,0,Negativo,2014.0
0.1903846153846154,2,Positivo,2015.0
0.0,1,Neutro,2013.0
-0.25,0,Negativo,2013.0
0.0,1,Neutro,2015.0
0.0,1,Neutro,2014.0
0.3,2,Positivo,2015.0
0.1,2,Positivo,2016.0
0.25,2,Positivo,2013.0
0.0952380952380952,2,Positivo,2014.0
0.0952380952380952,2,Positivo,2014.0
0.0266666666666666,2,Positivo,2014.0
0.6,2,Positivo,2013.0
-0.475,0,Negativo,2015.0
0.0,1,Neutro,2014.0
0.1363636363636363,2,Positivo,2014.0
0.1363636363636363,2,Positivo,2014.0
0.0333333333333333,2,Positivo,2009.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.3333333333333333,2,Positivo,2015.0
0.3333333333333333,2,Positivo,2012.0
0.1456349206349206,2,Positivo,2014.0
0.20625,2,Positivo,2013.0
0.4375,2,Positivo,2014.0
0.4375,2,Positivo,2014.0
0.0499999999999999,2,Positivo,2014.0
0.1282026143790849,2,Positivo,2014.0
-0.4,0,Negativo,2014.0
-0.4,0,Negativo,2014.0
0.0,1,Neutro,2012.0
-0.1888888888888889,0,Negativo,2016.0
0.3,2,Positivo,2013.0
0.0216666666666666,2,Positivo,2015.0
0.0,1,Neutro,2014.0
0.15,2,Positivo,2011.0
0.0979736781076067,2,Positivo,2015.0
-0.085207336523126,0,Negativo,2014.0
-0.085207336523126,0,Negativo,2014.0
0.0499999999999999,2,Positivo,2014.0
0.0499999999999999,2,Positivo,2014.0
0.05,2,Positivo,2015.0
-0.5,0,Negativo,2012.0
0.0,1,Neutro,2015.0
0.0333333333333333,2,Positivo,2009.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
-0.0574738455988455,0,Negativo,2014.0
-0.0574738455988455,0,Negativo,2014.0
-0.1845238095238096,0,Negativo,2011.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
0.1999999999999999,2,Positivo,2012.0
0.2,2,Positivo,2012.0
0.5,2,Positivo,2012.0
0.0,1,Neutro,2009.0
0.0,1,Neutro,2014.0
0.0,1,Neutro,2014.0
-0.3,0,Negativo,2015.0
-0.0083333333333333,0,Negativo,2014.0
