year,most_played_genre,playtime_forever
1983.0,Action,3582
1984.0,Action,384
1986.0,Adventure,5100
1987.0,Simulation,0
1988.0,Action,16243
1988.0,Adventure,6320
1988.0,Simulation,1
1989.0,Action,607
1989.0,Adventure,1204
1990.0,Action,69
1990.0,Adventure,1125
1990.0,Simulation,878
1990.0,Strategy,60
1991.0,Action,2711
1991.0,Adventure,186
1991.0,Simulation,144
1992.0,Action,1925
1992.0,Adventure,2522
1992.0,Simulation,11
1993.0,Action,10387
1993.0,Adventure,3857
1993.0,Strategy,41571
1994.0,Action,34584
1994.0,Adventure,10869
1994.0,Simulation,4127
1994.0,Strategy,46
1995.0,Action,50339
1995.0,Adventure,1544
1995.0,Casual,3177
1995.0,Simulation,980
1995.0,Strategy,2997
1996.0,Action,37474
1996.0,Adventure,45099
1996.0,Casual,570
1996.0,Classic,1260
1996.0,RPG,3102
1996.0,Racing,1202
1996.0,Strategy,1398
1997.0,Action,193744
1997.0,Adventure,15709
1997.0,Casual,2118
1997.0,RPG,493
1997.0,Strategy,25875
1998.0,Action,1054021
1998.0,Adventure,8605
1998.0,Casual,1880
1998.0,Indie,41
1998.0,Racing,5
1998.0,Simulation,2378
1998.0,Strategy,4592
1999.0,Action,1114030
1999.0,Adventure,1159
1999.0,Casual,222
1999.0,RPG,32509
1999.0,Simulation,9150
1999.0,Strategy,118473
2000.0,Action,997048
2000.0,Adventure,3555
2000.0,Casual,15
2000.0,Indie,2274
2000.0,RPG,1245
2000.0,Simulation,1838
2000.0,Strategy,2603
2001.0,Action,690599
2001.0,Adventure,6606
2001.0,Casual,675
2001.0,Indie,9428
2001.0,RPG,3868
2001.0,Simulation,105505
2001.0,Strategy,59486
2002.0,Action,357677
2002.0,Adventure,31935
2002.0,Casual,2544
2002.0,RPG,78925
2002.0,Simulation,61816
2002.0,Strategy,19290
2003.0,Action,1614183
2003.0,Adventure,8731
2003.0,Casual,1447
2003.0,Indie,1970
2003.0,RPG,132756
2003.0,Simulation,1047
2003.0,Strategy,34300
2004.0,Action,8057570
2004.0,Adventure,4499
2004.0,Casual,5263
2004.0,Indie,10046
2004.0,RPG,13430
2004.0,Racing,3477
2004.0,Simulation,15107
2004.0,Strategy,110295
2005.0,Action,1977713
2005.0,Adventure,15599
2005.0,Casual,9474
2005.0,Documentary,130
2005.0,Indie,45763
2005.0,RPG,178022
2005.0,Racing,99490
2005.0,Simulation,240
2005.0,Strategy,52615
2005.0,Web Publishing,12015
2006.0,Action,3227205
2006.0,Adventure,33417
2006.0,Casual,50372
2006.0,Indie,4248028
2006.0,Photo Editing,173
2006.0,RPG,1387
2006.0,Racing,12024
2006.0,Simulation,225857
2006.0,Strategy,132586
2007.0,Action,5900699
2007.0,Adventure,8517
2007.0,Casual,177338
2007.0,Horror,1
2007.0,Indie,53781
2007.0,RPG,15046
2007.0,Racing,92997
2007.0,Simulation,32159
2007.0,Strategy,121287
2008.0,Action,3274815
2008.0,Adventure,47254
2008.0,Casual,102792
2008.0,Drama,1
2008.0,Free to Play,26882
2008.0,Indie,570171
2008.0,RPG,477406
2008.0,Racing,421879
2008.0,Simulation,7231
2008.0,Sports,391
2008.0,Strategy,50656
2009.0,Action,12677184
2009.0,Adventure,291726
2009.0,Casual,481200
2009.0,Free to Play,152429
2009.0,Indie,248638
2009.0,RPG,926060
2009.0,Racing,810919
2009.0,Simulation,1010049
2009.0,Strategy,363167
2010.0,Action,9722101
2010.0,Adventure,157810
2010.0,Casual,1706157
2010.0,Education,9
2010.0,Free to Play,312100
2010.0,Indie,1597616
2010.0,RPG,640848
2010.0,Racing,129616
