title,year,recommend,polaridad
! That Bastard Is Trying To Steal Our Gold !,2016.0,False,0.0
! That Bastard Is Trying To Steal Our Gold !,2016.0,True,0.0
"10,000,000",2013.0,True,0.13333333333333333
100% Orange Juice,2013.0,False,-0.23249999999999998
100% Orange Juice,2013.0,True,-0.05830637508626641
12 Labours of Hercules,2015.0,True,0.15
12 Labours of Hercules II: The Cretan Bull,2015.0,False,-0.5571428571428572
12 Labours of Hercules II: The Cretan Bull,2015.0,True,0.1
140,2013.0,True,0.07941261353026056
16bit Trader,2015.0,False,-0.0210858585858585
18 Wheels of Steel: Extreme Trucker,2009.0,True,0.1499999999999999
1943 Megami Strike,2016.0,False,0.2
200% Mixed Juice!,2015.0,True,0.1357142857142857
20XX,2017.0,True,0.1291666666666666
30 IMPOSSIBLE LEVELS,2016.0,False,-0.274718045112782
3079 -- Block Action RPG,2011.0,True,0.325
3089 -- Futuristic Action RPG,2014.0,True,0.15697916666666667
3DRPG,2016.0,True,0.1861111111111111
3SwitcheD,2012.0,False,0.0954545454545454
404Sight,2015.0,False,-0.008994708994709
404Sight,2015.0,True,0.14891666666666667
60 Seconds!,2015.0,True,-0.059464550264550275
6180 the moon,2014.0,True,0.08841991341991345
8-Bit Armies,2016.0,True,-0.06875
8-Bit Hordes,2016.0,True,0.0608695652173913
8BitMMO,2015.0,False,-0.1416666666666667
8BitMMO,2015.0,True,0.17476909909001256
9.03m,2013.0,True,0.06666666666666667
99 Levels To Hell,2014.0,False,-0.0598039215686274
99 Spirits,2013.0,True,0.0625
A Bird Story,2014.0,True,0.10046212121212121
A Boy and His Blob,2016.0,False,-0.0112781954887217
A New Beginning - Final Cut,2012.0,False,-0.4833333333333333
A Story About My Uncle,2014.0,False,-0.007809027777777766
A Story About My Uncle,2014.0,True,0.1612121212121212
A Study in Steampunk: Choice by Gaslight,2015.0,True,0.1407894736842105
A Wizard's Lizard,2014.0,True,0.125
A.R.E.S. Extinction Agenda EX,2014.0,False,0.0924081549081549
ABZU,2016.0,True,0.15315795275225097
ACE - Arena: Cyber Evolution,2014.0,False,0.014545454545454533
ACE - Arena: Cyber Evolution,2014.0,True,0.15
ACE Academy,2016.0,True,0.5599999999999999
ADventure Lib,2015.0,False,-0.75
AI War: Fleet Command,2009.0,True,0.5044444444444444
ALPAGES : THE FIVE BOOKS,2015.0,True,0.1791666666666667
APB Reloaded,2011.0,False,-0.14022996315006386
APB Reloaded,2011.0,True,0.19094659001362185
ARK: Survival Evolved,2017.0,False,-0.08617225592877974
ARK: Survival Evolved,2017.0,True,0.23591365672025028
ARK: Survival Of The Fittest,2017.0,False,-0.3416666666666667
ARK: Survival Of The Fittest,2017.0,True,0.08214285714285707
ASRECorp,2016.0,True,0.6666666666666666
AXYOS,2014.0,False,0.0
AXYOS,2014.0,True,0.0
AaAaAA!!! - A Reckless Disregard for Gravity,2009.0,True,0.061458333333333344
Absolute Drift,2015.0,True,0.18521164021164022
Abyss Odyssey,2014.0,False,0.11444444444444439
Action Henk,2015.0,True,-0.175
Action! - Gameplay Recording and Streaming,2014.0,True,0.21992063492063488
Actual Sunlight,2014.0,True,-0.064
AdVenture Capitalist,2015.0,False,0.028571428571428567
AdVenture Capitalist,2015.0,True,0.10903706597846836
AdVenture Communist,2016.0,False,-0.3005555555555556
AdVenture Communist,2016.0,True,-0.375
Adam's Venture Chronicles,2015.0,False,-0.05
Adorables,2016.0,True,-0.05
Advent Rising,2005.0,True,-0.3666666666666666
Adventure Park,2013.0,False,-0.1344696969696969
Adventure Time: Finn and Jake Investigations,2015.0,True,0.1141771808438475
Adventures of Shuggy,2012.0,False,-0.06
Adventures of Shuggy,2012.0,True,0.26875
Aeon Command,2014.0,True,0.19869791666666659
Aero's Quest,2015.0,True,-0.01742424242424245
Aerofly FS 1 Flight Simulator,2012.0,True,0.8
Aftermath,2017.0,False,-0.0896859009502924
Aftermath,2017.0,True,0.09263310185185182
Agarest: Generations of War,2014.0,True,0.275
Age of Conquest IV,2016.0,True,0.1499999999999999
Age of Empires II HD: The African Kingdoms,2015.0,True,0.0787878787878788
Age of Empires® III: Complete Collection,2009.0,False,-0.013888888888888853
Age of Empires® III: Complete Collection,2009.0,True,0.5977454605579606
Air Brawl,2015.0,True,0.169622783743327
Airport Madness: World Edition,2015.0,True,0.0792763157894736
Airport Simulator 2014,2013.0,False,0.0
Airport Simulator 2014,2013.0,True,0.7720833333333333
Airships: Conquer the Skies,2015.0,True,0.11041666666666669
Akaneiro: Demon Hunters,2014.0,True,0.31
Alan Wake,2012.0,True,0.15499878491473637
Alan Wake's American Nightmare,2012.0,False,0.19374999999999998
Alan Wake's American Nightmare,2012.0,True,0.03589703541408085
Albedo: Eyes from Outer Space,2015.0,True,0.0106565656565656
Alien Breed 2: Assault,2010.0,True,-0.4666666666666666
Alien Rage - Unlimited,2013.0,False,-0.2866666666666667
Alien Rage - Unlimited,2013.0,True,0.3135714285714285
Alien Shooter,2003.0,True,-0.0634148629148629
Alien: Isolation,2014.0,False,-0.036500000000000005
Alien: Isolation,2014.0,True,0.022222973994290764
Aliens versus Predator Classic 2000,2000.0,True,0.10073875327347549
Alone in the Dark,2008.0,False,-0.1566666666666666
Alpha Prime,2007.0,False,-0.4
Alpha Prime,2007.0,True,0.15
Alphadia Genesis,2015.0,True,0.3
Altitude,2009.0,True,0.6578601953601954
Altitude,2017.0,True,0.6578601953601954
Always Sometimes Monsters,2014.0,True,0.11546177100616264
Amazing Frog?,2014.0,True,0.25625
America's Army: Proving Grounds,2015.0,False,-0.0017956349206349298
America's Army: Proving Grounds,2015.0,True,0.24689862542955326
American Truck Simulator,2016.0,True,0.15321758796758794
Amnesia: A Machine for Pigs,2013.0,False,-0.023958333333333325
Amnesia: A Machine for Pigs,2013.0,True,0.07316646948634527
Amnesia: The Dark Descent,2010.0,True,0.14364324911199913
Among Ripples,2015.0,False,0.0
Among Ripples,2015.0,True,0.2321666666666667
Ampersand,2015.0,False,0.16249999999999998
Ampersand,2015.0,True,-0.0326975108225108
Ampu-Tea,2014.0,False,-0.1596450617283951
Ampu-Tea,2014.0,True,-0.4687996031746031
Amygdala,2015.0,True,0.0487499999999999
Anachronox,2001.0,True,0.1766666666666666
Analogue: A Hate Story,2012.0,True,0.22675381970970204
Anarchy Arcade,2014.0,False,-0.48688949938949927
Anarchy Arcade,2014.0,True,0.22350198412698413
Ancient Space,2014.0,False,0.0141774891774891
And Yet It Moves,2009.0,False,-0.19999999999999996
Angels Fall First,2015.0,True,0.1363636363636363
Angry Birds Space,2013.0,False,0.2277777777777777
Angry Video Game Nerd Adventures,2013.0,False,-0.1875
Angry Video Game Nerd Adventures,2013.0,True,0.027249503968253954
Angry Video Game Nerd II: ASSimilation,2016.0,True,-0.4
Angry Video Game Nerd: The Movie,2015.0,True,0.55
Anna - Extended Edition,2013.0,True,0.0333333333333333
Anna's Quest,2015.0,True,0.8125
Anno Online,2013.0,False,-0.1666666666666666
Anomaly 2,2013.0,True,0.0
Another Perspective,2014.0,False,-0.4
Ant War: Domination,2015.0,False,0.2
Antenna,2016.0,True,0.1643550893550893
Antichamber,2013.0,False,0.0
Antichamber,2013.0,True,0.10101754306342714
Aozora Meikyuu,2016.0,False,-0.12
Aperture Tag: The Paint Gun Testing Initiative,2014.0,False,0.3999999999999999
Aperture Tag: The Paint Gun Testing Initiative,2014.0,True,0.31116421563591706
Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,2016.0,True,0.75
Apotheon,2015.0,True,0.18147640803397377
Arcadecraft,2014.0,True,-0.0553571428571428
ArcaniA,2010.0,True,0.0
ArcheAge,2015.0,False,0.21931818181818183
ArcheAge,2015.0,True,0.42149096996753244
Arena Wars 2,2012.0,True,0.0069444444444444545
Arma 2,2009.0,True,0.21600529100529098
