year,Negativo,Neutro,Positivo
1989.0,0.0,0.0,1.0
1991.0,0.0,0.0,1.0
1992.0,0.0,0.0,2.0
1993.0,3.0,0.0,1.0
1994.0,3.0,1.0,7.0
1995.0,2.0,1.0,0.0
1996.0,2.0,0.0,3.0
1997.0,2.0,3.0,11.0
1998.0,18.0,12.0,43.0
1999.0,15.0,23.0,32.0
2000.0,17.0,32.0,48.0
2001.0,5.0,3.0,18.0
2002.0,7.0,5.0,15.0
2003.0,43.0,41.0,66.0
2004.0,94.0,128.0,296.0
2005.0,17.0,30.0,68.0
2006.0,401.0,416.0,1100.0
2007.0,48.0,44.0,125.0
2008.0,56.0,59.0,161.0
2009.0,268.0,366.0,790.0
2010.0,209.0,202.0,574.0
2011.0,576.0,624.0,1776.0
2012.0,1637.0,1706.0,4094.0
2013.0,1466.0,1315.0,3756.0
2014.0,3109.0,4631.0,10355.0
2015.0,1230.0,1107.0,2911.0
2016.0,537.0,407.0,1349.0
2017.0,470.0,502.0,1167.0
